#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260419    07:45:22       0     17     38      -      0     52      0      0      0      0    405    210      0      0   1035  16356      -      -      -      0      0      0 
 20260419    07:45:22       1     14     35      -      0      0      0      0      0      0    405    210      0      0   1035  16356      -      -      -      0      0      0 
 20260419    07:45:24       0     18     38      -      0     54      0      0      0      0    405    210    100      0   1039  16356      -      -      -      0      3      0 
 20260419    07:45:24       1     16     35      -      0      0      0      0      0      0   9751   1695    100      0   1039  16356      -      -      -      0     23      0 
 20260419    07:45:25       0    113     43      -      0      0      0      0      0      0   9501   1965      0      0   9441  16356      -      -      -      0      0    148 
 20260419    07:45:25       1     98     39      -      0      0      0      0      0      0   9751   1695      0      0   9441  16356      -      -      -      0      0      0 
 20260419    07:45:26       0    139     44      -     17      0      0      0      0      0   9501   1965      0      0   9441  16356      -      -      -      0   1348    204 
 20260419    07:45:26       1    109     39      -      0      0      0      0      0      0   9751   1695      0      0   9441  16356      -      -      -      0      0      0 
 20260419    07:45:28       0    124     43      -     16      0      0      0      0      0   9501   1695      0      0   9441  16356      -      -      -      0   1384    196 
 20260419    07:45:28       1    105     39      -      0      0      0      0      0      0    810    360      0      0   9441  16356      -      -      -      0      0      0 
 20260419    07:45:29       0    112     43      -     15      0      0      0      0      0   9501   1695      0      0   9441  16356      -      -      -      0   1576    154 
 20260419    07:45:29       1     21     36      -      0      0      0      0      0      0    405    225     95      0   9441  16356      -      -      -      0      0      0 
 20260419    07:45:30       0    112     43      -     15      0      0      0      0      0   9501   1695      0      0   9441  16356      -      -      -      0   1068    122 
 20260419    07:45:30       1     17     36      -      0      0      0      0      0      0    405    210    100      0   9441  16356      -      -      -      0      0      0 
 20260419    07:45:31       0    107     42      -     16      0      0      0      0      0    810    870      0      0   9441  16356      -      -      -      0   1235    174 
 20260419    07:45:31       1     15     35      -      0      0      0      0      0      0    405    210    100      0   9441  16356      -      -      -      0      0      0 
 20260419    07:45:33       0     37     40      -     29      5      0      0      0      0    810    705      0      0   9441  16356      -      -      -      0   1349    195 
 20260419    07:45:33       1     14     35      -      0      0      0      0      0      0    405    210    100      0   9441  16356      -      -      -      0      0      0 
 20260419    07:45:34       0     35     40      -     27      5      0      0      0      0    810    570      0      0   9441  16356      -      -      -      0   1537    179 
 20260419    07:45:34       1     15     35      -      0      0      0      0      0      0    405    210    100      0   9441  16356      -      -      -      0      0      0 
 20260419    07:45:35       0     47     43      -     29      5      0      0      0      0   9501   1965      0      0  15909  16356      -      -      -      0      2      0 
 20260419    07:45:35       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15909  16356      -      -      -      0      0      0 
 20260419    07:45:37       0    138     45      -      0      0      0      0      0      0   9501   1965      0      0  15909  16356      -      -      -      0      0      0 
 20260419    07:45:37       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15909  16356      -      -      -      0      0      0 
 20260419    07:45:38       0     98     42      -      0      0      0      0      0      0   5001    360      0      0  15909  16356      -      -      -      0      0      0 
 20260419    07:45:38       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15909  16356      -      -      -      0      0      0 
 20260419    07:45:39       0     82     42      -      0      1      0      0      0      0    810    225    100      0  15909  16356      -      -      -      0      0      0 
 20260419    07:45:39       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15909  16356      -      -      -      0      0      0 
 20260419    07:45:41       0     21     40      -      0     22      0      0      0      0    405    210    100      0  15909  16356      -      -      -      0      0      0 
 20260419    07:45:41       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15909  16356      -      -      -      0      0      0 
 20260419    07:45:42       0     19     40      -      0     58      0      0      0      0    405    210    100      0  15909  16356      -      -      -      0      0      0 
 20260419    07:45:42       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15909  16356      -      -      -      0      0      0 
 20260419    07:45:43       0     18     39      -      0     50      0      0      0      0    405    210    100      0  15909  16356      -      -      -      0      0      0 
 20260419    07:45:43       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15909  16356      -      -      -      0      0      0 
 20260419    07:45:45       0     21     39      -      0     33      0      0      0      0    405    210     84      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:45       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:46       0     24     39      -      0     11      0      0      0      0    405    210      0      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:46       1     16     36      -      0      0      0      0      0      0    405    210     71      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:47       0     24     39      -      0     30      0      0      0      0    405    210     82      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:47       1     15     36      -      0      0      0      0      0      0    405    210     98      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:49       0     18     39      -      0     55      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:49       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:50       0     17     39      -      0     55      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:50       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260419    07:45:51       0     17     39      -      0     56      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:51       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:52       0     17     39      -      0     58      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:52       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:54       0     17     39      -      0     53      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:54       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:55       0     18     39      -      0     56      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:55       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:56       0     24     39      -      0     36      0      0      0      0    405    210     22      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:56       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:57       0     24     39      -      0     21      0      0      0      0    405    210      0      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:57       1     18     36      -      0      0      0      0      0      0    405    210     52      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:59       0     24     39      -      0     24      0      0      0      0    405    210     20      0  15941  16356      -      -      -      0      0      0 
 20260419    07:45:59       1     19     36      -      0      0      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:46:00       0     18     39      -      0     57      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:46:00       1     14     35      -      0      0      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:46:01       0     23     39      -      0     28      0      0      0      0    405    210     18      0  15941  16356      -      -      -      0      2      0 
 20260419    07:46:01       1     21     36      -      0      0      0      0      0      0    405    210     26      0  15941  16356      -      -      -      0      0      0 
 20260419    07:46:03       0     23     39      -      0     15      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:46:03       1     19     36      -      0      0      0      0      0      0    405    210     14      0  15941  16356      -      -      -      0      0      0 
 20260419    07:46:04       0     18     39      -      0     54      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:46:04       1     15     36      -      0      0      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      0      0 
 20260419    07:46:05       0     17     39      -      0     51      0      0      0      0    405    210    100      0  15941  16356      -      -      -      0      1      0 
 20260419    07:46:05       1     14     35      -      0      0      0      0      0      0    405    210    100      0  16017  16356      -      -      -      0      0      0 
 20260419    07:46:06       0     20     39      -      1     23      0      0      0      0    405    210     33      0  16017  16356      -      -      -      0      0      0 
 20260419    07:46:06       1     14     35      -      0      0      0      0      0      0    405    210    100      0  16017  16356      -      -      -      0      0      0 
 20260419    07:46:08       0     24     39      -      0     29      0      0      0      0    405    210      0      0  16017  16356      -      -      -      0      4      0 
 20260419    07:46:08       1     16     36      -      0      0      0      0      0      0    405    210     52      0  16017  16356      -      -      -      0      3      0 
 20260419    07:46:09       0     26     39      -      3     16      0      0      0      0    405    210      0      0  16017  16356      -      -      -      0      0      0 
 20260419    07:46:09       1     25     36      -      3      0      0      0      0      0    405    210      0      0  16017  16356      -      -      -      0      0      0 
 20260419    07:46:10       0     24     39      -      0     24      0      0      0      0    405    210     14      0  16026  16356      -      -      -      0      1     10 
 20260419    07:46:10       1     19     36      -      3      1      0      0      0      0    405    210     10      0  16026  16356      -      -      -      0      9      0 
 20260419    07:46:12       0     99     43      -      0      0      0      0      0      0   9501   1695      4      0  16016  16356      -      -      -      0      0      0 
 20260419    07:46:12       1     97     39      -      0      0      0      0      0      0   9751   1695      0      0  16016  16356      -      -      -      0      0      0 
 20260419    07:46:13       0    108     43      -      0      0      0      0      0      0   5001    345      0      0  16016  16356      -      -      -      0      4     13 
 20260419    07:46:13       1    109     40      -      0      0      0      0      0      0   9751   1695      4      0  16024  16356      -      -      -      0    162      3 
 20260419    07:46:14       0     97     44      -      1      0      0      0      0      0   9501   1695      0      0  16015  16356      -      -      -      0      0      0 
 20260419    07:46:14       1    104     40      -      2      0      0      0      0      0   9751   1695      0      0  16015  16356      -      -      -      0     86      7 
 20260419    07:46:16       0    112     44      -      0      0      0      0      0      0   9501   1695      0      0  16015  16356      -      -      -      0      0      0 
 20260419    07:46:16       1    109     40      -      0      0      0      0      0      0   9751   1695      0      0  16015  16356      -      -      -      0      0      0 
 20260419    07:46:17       0    112     44      -      0      0      0      0      0      0   9501   1695      0      0  16015  16356      -      -      -      0      0      0 
 20260419    07:46:17       1    109     41      -      0      0      0      0      0      0   9751   1695      0      0  16015  16356      -      -      -      0      0      0 
 20260419    07:46:18       0    112     44      -      0      0      0      0      0      0   9501   1695      0      0  16015  16356      -      -      -      0      0      0 
 20260419    07:46:18       1    109     41      -      0      0      0      0      0      0   9751   1695      0      0  16015  16356      -      -      -      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260419    07:46:19       0    284     57      -     87     85      0      0      0      0   9501   1845     19      0  16023  16356      -      -      -      0    413    124 
 20260419    07:46:19       1     34     39      -      0      0      0      0      0      0   9751   1695      1      0  16027  16356      -      -      -      0      6     20 
 20260419    07:46:20       0    399     58      -     88     86      0      0      0      0   9501   1830      0      0  16027  16356      -      -      -      0    127     78 
 20260419    07:46:20       1    108     40      -      0      0      0      0      0      0   9501   1695      0      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:21       0    398     59      -     88     85      0      0      0      0   9501   1845      0      0  16027  16356      -      -      -      0    127    151 
 20260419    07:46:21       1    107     41      -      0      0      0      0      0      0   9501   1695      0      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:23       0    398     60      -     89     86      0      0      0      0   9501   1830      0      0  16027  16356      -      -      -      0    139    116 
 20260419    07:46:23       1    107     41      -      0      0      0      0      0      0   9501   1695      0      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:24       0    398     61      -     89     87      0      0      0      0   9501   1815      0      0  16027  16356      -      -      -      0    126    116 
 20260419    07:46:24       1    107     41      -      0      0      0      0      0      0   9501   1695      0      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:26       0    398     62      -     90     86      0      0      0      0   9501   1830      0      0  16027  16356      -      -      -      0    139    122 
 20260419    07:46:26       1    107     41      -      0      0      0      0      0      0   9501   1695      0      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:27       0    398     62      -     88     85      0      0      0      0   9501   1830      0      0  16027  16356      -      -      -      0    128    116 
 20260419    07:46:27       1     95     39      -      0      0      0      0      0      0    810    345      7      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:28       0    398     63      -     89     86      0      0      0      0   9501   1830      0      0  16027  16356      -      -      -      0     84    113 
 20260419    07:46:28       1     17     37      -      0      0      0      0      0      0    405    210    100      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:30       0    397     63      -     89     87      0      0      0      0   9501   1815      0      0  16027  16356      -      -      -      0    152    125 
 20260419    07:46:30       1     17     37      -      0      0      0      0      0      0    405    210     86      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:31       0    398     64      -     88     86      0      0      0      0   9501   1830      0      0  16027  16356      -      -      -      0    140    154 
 20260419    07:46:31       1     15     37      -      0      0      0      0      0      0    405    210     99      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:33       0    398     64      -     90     87      0      0      0      0   9501   1815      0      0  16027  16356      -      -      -      0    145     70 
 20260419    07:46:33       1     15     37      -      0      0      0      0      0      0    405    210    100      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:34       0    398     65      -     88     86      0      0      0      0   9501   1815      0      0  16027  16356      -      -      -      0    133    126 
 20260419    07:46:34       1     15     37      -      0      0      0      0      0      0    405    210    100      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:35       0    398     65      -     88     85      0      0      0      0   9501   1815      0      0  16027  16356      -      -      -      0    142    161 
 20260419    07:46:35       1     18     37      -      0      0      0      0      0      0    405    210    100      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:37       0    398     66      -     89     86      0      0      0      0   9501   1815      0      0  16027  16356      -      -      -      0    108    155 
 20260419    07:46:37       1     16     37      -      0      0      0      0      0      0    405    210    100      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:38       0    398     66      -     89     86      0      0      0      0   9501   1815      0      0  16027  16356      -      -      -      0    165    123 
 20260419    07:46:38       1     15     36      -      0      0      0      0      0      0    405    210    100      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:39       0    174     56      -      0      0      0      0      0      0   9501   1950      0      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:39       1     19     37      -      0      0      0      0      0      0    405    210    100      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:41       0    142     54      -      0      0      0      0      0      0   9501    390      0      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:41       1     14     36      -      0      0      0      0      0      0    405    210    100      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:42       0    112     51      -      0      0      0      0      0      0   5001    255      0      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:42       1     14     36      -      0      0      0      0      0      0    405    210    100      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:43       0     77     50      -      0      1      0      0      0      0   5001    210      0      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:43       1     14     36      -      0      0      0      0      0      0    405    210    100      0  16027  16356      -      -      -      0      0      0 
 20260419    07:46:45       0     54     51      -     10      5      0      0      0      0   9501   1695      5      0  18754  16356      -      -      -      0    140    119 
 20260419    07:46:45       1     17     37      -     74     35      0      0      0      0    405    330     62      0  19394  16356      -      -      -      0      0      0 
 20260419    07:46:46       0    366     63      -     90     87      0      0      0      0   9501   1800      0      0  21430  16356      -      -      -      0    100    126 
 20260419    07:46:46       1    108     41      -      9      0      0      0      0      0   9501   1695      0      0  21430  16356      -      -      -      0    839    103 
 20260419    07:46:47       0    398     65      -     90     87      0      0      0      0   9501   1815      0      0  21430  16356      -      -      -      0    203    129 
 20260419    07:46:47       1     78     38      -      9      0      0      0      0      0    810    660      0      0  21430  16356      -      -      -      0    873    112 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260419    07:46:48       0    398     65      -     86     84      0      0      0      0   9501   1815      0      0  21430  16356      -      -      -      0    203    130 
 20260419    07:46:48       1     39     38      -     19      1      0      0      0      0    810    525      0      0  21430  16356      -      -      -      0    853    100 
 20260419    07:46:49       0    398     66      -     89     86      0      0      0      0   9501   1815      0      0  21430  16356      -      -      -      0    508    190 
 20260419    07:46:49       1     37     38      -     16      1      0      0      0      0    405    420      0      0  21430  16356      -      -      -      0    441     49 
 20260419    07:46:50       0    398     66      -     90     86      0      0      0      0   9501   1815      0      0  21430  16356      -      -      -      0   1035    236 
 20260419    07:46:50       1     25     37      -      0      0      0      0      0      0    405    270      0      0  21430  16356      -      -      -      0      0      0 
 20260419    07:46:52       0    398     67      -     89     83      0      0      0      0   9501   1800      0      0  21430  16356      -      -      -      0   1071    232 
 20260419    07:46:52       1     22     37      -      0      0      0      0      0      0    405    225      0      0  21430  16356      -      -      -      0      0      0 
 20260419    07:46:53       0    398     68      -     89     85      0      0      0      0   9501   1800      0      0  21430  16356      -      -      -      0    190    152 
 20260419    07:46:53       1     15     37      -      0      0      0      0      0      0    405    210     89      0  21430  16356      -      -      -      0      0      0 
 20260419    07:46:54       0    398     68      -     89     85      0      0      0      0   9501   1800      0      0  21430  16356      -      -      -      0    910    199 
 20260419    07:46:54       1     15     37      -      0      0      0      0      0      0    405    210    100      0  21430  16356      -      -      -      0      0      0 
 20260419    07:46:55       0    397     68      -     89     85      0      0      0      0   9501   1800      0      0  21430  16356      -      -      -      0    322    142 
 20260419    07:46:55       1     15     36      -      0      0      0      0      0      0    405    210    100      0  21430  16356      -      -      -      0      0      0 
 20260419    07:46:57       0    395     69      -     78     75      0      0      0      0   9501   1815      0      0  21430  16356      -      -      -      0    132    120 
 20260419    07:46:57       1     15     36      -      0      0      0      0      0      0    405    210    100      0  21430  16356      -      -      -      0    172     50 
 20260419    07:46:58       0    398     69      -     90     86      0      0      0      0   9501   1770      0      0  21434  16356      -      -      -      0    158    191 
 20260419    07:46:58       1     41     40      -     75     71      0      0      0      0   5001   1305     10      0  21434  16356      -      -      -      0     70     25 
 20260419    07:46:59       0    398     70      -     95     91      0      0      0      0   9501   1755      0      0  21434  16356      -      -      -      0    156    191 
 20260419    07:46:59       1    113     41      -     38     36      0      0      0      0   5001   1320      0      0  21434  16356      -      -      -      0     62     27 
 20260419    07:47:00       0    398     70      -     96     91      0      0      0      0   9501   1755      0      0  21434  16356      -      -      -      0    158    191 
 20260419    07:47:00       1    113     41      -     38     37      0      0      0      0   5001   1320      0      0  21434  16356      -      -      -      0     59     29 
 20260419    07:47:01       0    399     70      -     96     91      0      0      0      0   9501   1755      0      0  21434  16356      -      -      -      0    161    164 
 20260419    07:47:01       1    112     42      -     37     35      0      0      0      0   5001   1320      0      0  21434  16356      -      -      -      0     71     26 
 20260419    07:47:03       0    398     71      -     95     90      0      0      0      0   9501   1740      0      0  21434  16356      -      -      -      0    161    192 
 20260419    07:47:03       1    113     42      -     40     39      0      0      0      0   5001   1350      0      0  21434  16356      -      -      -      0     63     29 
 20260419    07:47:04       0    397     71      -     95     90      0      0      0      0   9501   1755      0      0  21434  16356      -      -      -      0    176    203 
 20260419    07:47:04       1    113     42      -     38     37      0      0      0      0   5001   1365      0      0  21434  16356      -      -      -      0     48     27 
 20260419    07:47:05       0    398     71      -     96     90      0      0      0      0   9501   1755      0      0  21434  16356      -      -      -      0    162    200 
 20260419    07:47:05       1    114     42      -     38     37      0      0      0      0   5001   1365      0      0  21434  16356      -      -      -      0     49     24 
 20260419    07:47:06       0    398     71      -     96     91      0      0      0      0   9501   1755      0      0  21434  16356      -      -      -      0    164    179 
 20260419    07:47:06       1    113     42      -     38     37      0      0      0      0   5001   1365      0      0  21434  16356      -      -      -      0     72     28 
 20260419    07:47:07       0    398     72      -     95     90      0      0      0      0   9501   1755      0      0  21434  16356      -      -      -      0    172    195 
 20260419    07:47:07       1    113     42      -     38     37      0      0      0      0   5001   1380      0      0  21434  16356      -      -      -      0     68     22 
 20260419    07:47:08       0    398     72      -     96     91      0      0      0      0   9501   1755      0      0  21434  16356      -      -      -      0    173    192 
 20260419    07:47:08       1    114     43      -     37     36      0      0      0      0   5001   1395      0      0  21434  16356      -      -      -      0     45     29 
 20260419    07:47:09       0    399     72      -     95     90      0      0      0      0   9501   1755      0      0  21434  16356      -      -      -      0    158    193 
 20260419    07:47:09       1    116     43      -     40     39      0      0      0      0   5001   1425      0      0  21434  16356      -      -      -      0     54     29 
 20260419    07:47:11       0    398     73      -     96     90      0      0      0      0   9501   1740      0      0  21434  16356      -      -      -      0    241    187 
 20260419    07:47:11       1    117     43      -     38     37      0      0      0      0   5001   1440      0      0  21434  16356      -      -      -      0     61     29 
 20260419    07:47:12       0    397     73      -     95     88      0      0      0      0   9501   1755      0      0  21434  16356      -      -      -      0    175    182 
 20260419    07:47:12       1    121     43      -     37     35      0      0      0      0   5001   1515      0      0  21434  16356      -      -      -      0     51     21 
